Algoritmo,ID_VETOR,NumeroEntradas,Tempo,TipoEntrada
BubbleSort,8,66827,5.8939367,Aleatória
BubbleSort,8,80223,8.580825799999998,Aleatória
BubbleSort,8,96304,12.4949013,Aleatória
BubbleSort,8,115609,17.9776851,Aleatória
BubbleSort,8,138784,26.290919,Aleatória
BubbleSort,8,166604,37.8356715,Aleatória
BubbleSort,8,200000,55.0962471,Aleatória
BubbleSort,9,1,3.7e-06,Aleatória
BubbleSort,9,2,1.4e-06,Aleatória
BubbleSort,9,3,2.5e-06,Aleatória
BubbleSort,9,4,2.2e-06,Aleatória
BubbleSort,9,6,1.2e-06,Aleatória
BubbleSort,9,7,1.1e-06,Aleatória
BubbleSort,9,10,1.2e-06,Aleatória
BubbleSort,9,13,1.5e-06,Aleatória
BubbleSort,9,18,1.8e-06,Aleatória
BubbleSort,9,24,2.2e-06,Aleatória
BubbleSort,9,32,2.4e-06,Aleatória
BubbleSort,9,42,3.4e-06,Aleatória
BubbleSort,9,56,5.6e-06,Aleatória
BubbleSort,9,75,6.9e-06,Aleatória
BubbleSort,9,100,1.07e-05,Aleatória
BubbleSort,9,133,1.41e-05,Aleatória
BubbleSort,9,178,2.4e-05,Aleatória
BubbleSort,9,237,3.73e-05,Aleatória
BubbleSort,9,316,6.68e-05,Aleatória
BubbleSort,9,422,0.0001241,Aleatória
BubbleSort,9,562,0.000178,Aleatória
BubbleSort,9,750,0.0003175,Aleatória
BubbleSort,9,1000,0.0005202,Aleatória
BubbleSort,9,1200,0.0007196,Aleatória
BubbleSort,9,1441,0.0010378,Aleatória
BubbleSort,9,1730,0.0014851,Aleatória
BubbleSort,9,2077,0.0021573,Aleatória
BubbleSort,9,2493,0.0031248,Aleatória
BubbleSort,9,2993,0.004535,Aleatória
BubbleSort,9,3593,0.0064425,Aleatória
BubbleSort,9,4313,0.0095576,Aleatória
BubbleSort,9,5177,0.0141643,Aleatória
BubbleSort,9,6215,0.0211589,Aleatória
BubbleSort,9,7461,0.0346653,Aleatória
BubbleSort,9,8957,0.0544264,Aleatória
BubbleSort,9,10752,0.0875395,Aleatória
BubbleSort,9,12907,0.1560417,Aleatória
BubbleSort,9,15495,0.2321497,Aleatória
BubbleSort,9,18601,0.3748758,Aleatória
BubbleSort,9,22330,0.6130555,Aleatória
BubbleSort,9,26806,0.8748443,Aleatória
BubbleSort,9,32179,1.2627889,Aleatória
BubbleSort,9,38629,1.9439857,Aleatória
BubbleSort,9,46373,2.7820596,Aleatória
BubbleSort,9,55668,4.2177341,Aleatória
BubbleSort,9,66827,6.0059304,Aleatória
BubbleSort,9,80223,8.7388221,Aleatória
BubbleSort,9,96304,12.5877078,Aleatória
BubbleSort,9,115609,18.3629547,Aleatória
BubbleSort,9,138784,26.3684112,Aleatória
BubbleSort,9,166604,38.2621468,Aleatória
BubbleSort,9,200000,55.2216107,Aleatória
BubbleSort,10,1,3.6e-06,Aleatória
BubbleSort,10,2,2.1e-06,Aleatória
BubbleSort,10,3,2e-06,Aleatória
BubbleSort,10,4,2.1e-06,Aleatória
BubbleSort,10,6,2.2e-06,Aleatória
BubbleSort,10,7,2.1e-06,Aleatória
BubbleSort,10,10,1.6e-06,Aleatória
BubbleSort,10,13,1.5e-06,Aleatória
BubbleSort,10,18,2.6e-06,Aleatória
BubbleSort,10,24,2.1e-06,Aleatória
BubbleSort,10,32,1.36e-05,Aleatória
BubbleSort,10,42,4e-06,Aleatória
BubbleSort,10,56,1.18e-05,Aleatória
BubbleSort,10,75,1.43e-05,Aleatória
BubbleSort,10,100,1.74e-05,Aleatória
BubbleSort,10,133,2.22e-05,Aleatória
BubbleSort,10,178,3.17e-05,Aleatória
BubbleSort,10,237,4.5e-05,Aleatória
BubbleSort,10,316,7.42e-05,Aleatória
BubbleSort,10,422,0.0001085,Aleatória
BubbleSort,10,562,0.000183,Aleatória
BubbleSort,10,750,0.0003048,Aleatória
BubbleSort,10,1000,0.0005326,Aleatória
BubbleSort,10,1200,0.0007324999999999,Aleatória
BubbleSort,10,1441,0.0011169,Aleatória
BubbleSort,10,1730,0.0015267,Aleatória
BubbleSort,10,2077,0.0021341,Aleatória
BubbleSort,10,2493,0.003263,Aleatória
BubbleSort,10,2993,0.0046978,Aleatória
BubbleSort,10,3593,0.0064918,Aleatória
BubbleSort,10,4313,0.0093782,Aleatória
BubbleSort,10,5177,0.0143053,Aleatória
BubbleSort,10,6215,0.0210724,Aleatória
BubbleSort,10,7461,0.0332581,Aleatória
BubbleSort,10,8957,0.0555745,Aleatória
BubbleSort,10,10752,0.0898268,Aleatória
BubbleSort,10,12907,0.1452126999999999,Aleatória
BubbleSort,10,15495,0.2317563,Aleatória
BubbleSort,10,18601,0.3640454,Aleatória
BubbleSort,10,22330,0.5645319,Aleatória
BubbleSort,10,26806,0.8453304,Aleatória
BubbleSort,10,32179,1.2603194,Aleatória
